date,activeUsers,newUsers,sessions,engagedSessions,screenPageViews,eventCount,userEngagementDuration
2026-05-07,2,0,2,2,4,8,14
2026-05-18,1,1,1,0,1,3,0
2026-05-27,4,4,4,0,4,12,0
2026-05-29,2,2,2,0,2,6,0
2026-05-30,2,2,2,0,2,6,0
2026-05-31,1,1,1,0,1,3,0
2026-06-08,3,3,3,0,3,9,0
2026-06-09,4,4,4,0,4,12,0
2026-06-16,1,0,2,2,4,8,51
2026-06-18,2,1,2,1,1,5,0
2026-06-22,1,1,1,0,1,3,0
2026-06-23,7,7,7,0,7,21,0
2026-06-24,4,4,4,0,4,12,0
2026-06-25,8,8,8,0,8,24,0
2026-06-28,1,1,1,0,1,3,0
2026-06-30,2,2,2,0,2,7,1
2026-07-01,5,5,5,0,5,15,0
2026-07-02,15,15,15,0,15,45,0
2026-07-04,3,3,3,0,3,9,0
2026-07-05,4,4,4,1,4,13,11
2026-07-06,15,15,15,0,15,45,0
2026-07-07,30,30,30,0,30,90,0
2026-07-08,18,18,18,0,18,54,0
2026-07-09,1,1,1,0,1,3,0
2026-07-10,1,1,1,0,1,4,4
2026-07-12,3,3,3,0,3,10,6
2026-07-13,2,1,2,1,2,5,1
2026-07-15,1,1,1,0,1,3,0
2026-07-16,1,1,1,0,1,3,0
2026-07-17,2,2,2,0,2,6,0
2026-07-18,1,1,1,0,1,3,0
2026-07-19,4,4,4,0,4,12,0
2026-07-20,2,2,2,0,2,6,0
2026-07-21,16,16,16,0,16,49,0
2026-07-22,1,1,1,0,1,3,0
2026-07-26,47,47,47,0,47,141,0
2026-07-27,1,1,1,0,1,3,0
2026-07-28,1,1,1,0,1,3,0
2026-07-29,14,14,14,0,14,42,0
2026-08-02,1,1,1,0,1,3,0
2026-08-06,3,3,3,0,3,9,0
2026-08-07,6,6,6,0,6,18,0
2026-08-08,6,6,6,0,6,18,0
2026-08-09,7,7,7,0,7,21,0
2026-08-10,4,4,4,0,4,12,0
2026-08-11,8,8,8,0,8,24,0
2026-08-12,8,8,8,0,8,24,0
2026-08-13,18,18,18,0,18,54,0
2026-08-14,9,9,9,1,9,29,13
