date,activeUsers,newUsers,sessions,engagedSessions,screenPageViews,eventCount,userEngagementDuration
2026-05-07,4,0,4,4,8,18,16
2026-05-09,2,1,2,2,2,4,0
2026-05-12,1,1,1,0,1,3,0
2026-05-13,1,1,1,0,1,3,0
2026-05-15,3,0,5,5,7,18,163
2026-05-16,1,1,1,1,1,4,84
2026-05-17,2,0,2,2,2,4,6
2026-05-18,1,0,2,1,1,5,15
2026-05-19,8,0,14,14,11,29,89
2026-05-20,2,0,2,0,0,3,1
2026-05-21,1,1,1,1,1,4,98
2026-05-23,1,0,1,0,0,2,1
2026-05-26,3,0,3,3,3,7,3
2026-05-27,3,3,3,0,3,9,0
2026-05-28,6,0,6,6,11,30,238
2026-06-02,1,0,1,1,1,3,6
2026-06-03,0,0,1,0,1,2,0
2026-06-04,4,1,4,4,7,19,790
2026-06-05,0,0,1,0,0,2,0
2026-06-08,4,4,4,0,4,12,0
2026-06-09,6,5,6,1,6,19,66
2026-06-11,3,2,3,1,3,8,134
2026-06-12,3,3,3,0,3,9,0
2026-06-13,1,1,1,0,1,3,0
2026-06-14,6,6,6,0,6,18,0
2026-06-15,7,6,7,0,7,21,1
2026-06-16,6,1,8,7,16,34,281
2026-06-17,7,7,7,0,7,23,8
2026-06-18,6,2,7,5,3,13,79
2026-06-19,3,3,3,0,3,9,0
2026-06-20,6,6,6,0,6,18,0
2026-06-21,2,2,3,0,3,8,0
2026-06-22,1,1,1,0,1,3,0
2026-06-24,2,2,2,0,2,6,0
2026-06-25,4,4,4,0,4,12,0
2026-06-26,6,3,7,4,7,18,98
2026-06-29,1,1,1,0,1,3,0
2026-06-30,8,8,8,0,8,24,0
2026-07-01,5,4,6,1,6,16,0
2026-07-02,5,4,5,1,5,15,14
2026-07-03,6,6,6,0,6,18,0
2026-07-04,2,2,2,0,2,6,0
2026-07-06,3,2,3,1,2,7,133
2026-07-08,2,0,2,2,3,10,13
2026-07-12,1,1,1,1,1,4,23
2026-07-13,1,0,1,1,2,4,10
2026-07-14,1,1,1,0,1,4,5
2026-07-15,5,2,6,3,6,18,27
2026-07-16,12,10,14,4,13,43,86
2026-07-17,3,3,3,0,3,10,0
2026-07-18,1,1,1,0,1,3,0
2026-07-20,1,1,1,0,1,3,0
2026-07-21,2,2,2,0,2,6,0
2026-07-22,5,5,5,0,5,16,0
2026-07-23,14,5,18,15,20,60,459
2026-07-24,4,1,6,3,5,15,372
2026-07-26,1,1,1,0,1,3,0
2026-07-27,0,0,1,0,1,2,0
2026-07-28,1,1,1,0,1,3,0
2026-07-31,1,1,1,0,1,3,0
2026-08-03,1,1,1,0,1,3,0
2026-08-04,2,2,2,0,2,6,0
2026-08-05,9,8,10,2,10,29,37
2026-08-06,2,2,2,0,2,6,0
2026-08-07,6,2,9,5,14,34,148
2026-08-08,4,3,4,2,4,12,12
2026-08-09,5,4,5,1,5,13,0
2026-08-10,3,1,4,3,5,8,3
2026-08-11,5,3,8,5,16,42,518
2026-08-12,2,1,2,1,3,6,0
2026-08-13,2,0,3,3,3,7,258
2026-08-14,2,0,2,2,2,4,0
2026-08-15,1,0,1,1,1,2,18
2026-08-16,1,0,1,1,2,4,21
2026-08-17,7,6,8,2,9,24,166
2026-08-18,1,0,1,1,1,3,0
