date,activeUsers,newUsers,sessions,engagedSessions,screenPageViews,eventCount,userEngagementDuration
2026-05-07,1,0,2,2,1,7,13
2026-05-11,2,2,2,1,2,159,553
2026-05-12,1,1,1,1,1,15,35
2026-05-19,2,2,2,1,2,13,8
2026-05-21,1,1,1,1,1,9,10
2026-05-22,1,0,1,1,1,6,6
2026-05-26,3,1,3,3,3,15,142
2026-05-31,0,0,1,0,1,6,0
2026-06-02,0,0,1,0,0,2,0
2026-06-04,2,1,2,2,2,13,8
2026-06-05,1,0,1,1,0,4,0
2026-06-08,2,1,3,3,2,15,18
2026-06-10,1,0,1,1,1,5,3
2026-06-11,1,0,1,1,1,7,131
2026-06-15,1,1,1,0,1,7,0
2026-06-16,1,1,2,0,1,10,4
2026-06-17,0,0,2,0,1,9,0
2026-06-23,2,1,2,2,2,16,21
2026-07-03,1,1,1,1,1,25,146
2026-07-06,1,0,2,0,1,9,0
2026-07-12,1,1,1,0,1,8,0
2026-07-13,2,1,3,1,2,12,16
2026-07-19,1,1,1,1,1,9,25
2026-07-20,3,3,3,2,3,28,102
2026-07-21,1,1,2,1,1,11,11
2026-08-05,1,1,1,1,1,5,14
2026-08-08,1,1,1,1,1,5,73
2026-08-10,1,1,1,1,1,3,0
2026-08-11,2,1,3,2,4,12,55
2026-08-15,2,2,2,1,4,11,18
2026-08-17,1,1,1,1,1,5,84
2026-08-28,1,0,1,1,1,2,1
20260507,1,0,2,2,1,7,13
20260511,2,2,2,1,2,159,553
20260512,1,1,1,1,1,15,35
20260519,2,2,2,1,2,13,8
20260521,1,1,1,1,1,9,10
20260522,1,0,1,1,1,6,6
20260526,3,1,3,3,3,15,142
20260531,0,0,1,0,1,6,0
20260602,0,0,1,0,0,2,0
20260604,2,1,2,2,2,13,8
20260605,1,0,1,1,0,4,0
20260608,2,1,3,3,2,15,18
20260610,1,0,1,1,1,5,3
20260611,1,0,1,1,1,7,131
20260615,1,1,1,0,1,7,0
20260616,1,1,2,0,1,10,4
20260617,0,0,2,0,1,9,0
20260623,2,1,2,2,2,16,21
20260703,1,1,1,1,1,25,146
20260706,1,0,2,0,1,9,0
20260712,1,1,1,0,1,8,0
20260713,2,1,3,1,2,12,16
20260719,1,1,1,1,1,9,25
20260720,3,3,3,2,3,28,102
20260721,1,1,2,1,1,11,11
