date,activeUsers,newUsers,sessions,engagedSessions,screenPageViews,eventCount,userEngagementDuration
2026-08-10,2,0,7,6,30,62,164
2026-08-11,7,3,10,7,189,223,2487
2026-08-12,1,0,3,3,77,82,586
2026-08-13,2,1,3,3,6,14,109
2026-08-15,1,1,1,0,1,4,0
2026-08-16,1,0,2,2,4,8,16
2026-08-17,2,0,5,4,9,18,86
2026-08-18,4,2,5,4,8,16,55
2026-08-19,3,1,4,3,11,18,46
2026-08-20,1,0,2,2,0,3,24
2026-08-21,1,0,1,1,1,2,0
2026-08-24,5,2,6,5,9,20,1
2026-08-25,13,9,15,10,35,77,231
2026-08-26,7,1,10,8,32,52,836
2026-08-28,2,1,3,3,9,14,92
2026-08-30,1,0,1,0,1,3,0
2026-08-31,1,0,4,3,6,11,61
2026-09-01,6,1,9,7,36,58,172
2026-09-02,2,0,6,1,3,12,5
2026-09-03,1,0,2,1,1,4,0
