date,activeUsers,newUsers,sessions,engagedSessions,screenPageViews,eventCount,userEngagementDuration
2026-07-27,2,0,2,2,2,7,138
2026-07-29,3,1,4,3,7,26,93
2026-07-31,2,1,2,1,3,10,97
2026-08-03,0,0,1,0,0,2,0
2026-08-04,1,0,3,3,3,7,0
2026-08-05,2,0,2,2,1,4,3
2026-08-06,1,0,1,1,1,4,4
2026-08-07,0,0,1,0,1,3,0
2026-08-10,1,0,2,1,3,7,0
2026-08-11,1,0,2,0,1,5,0
2026-08-12,0,0,1,0,1,3,0
2026-08-16,2,1,3,2,8,28,511
2026-08-17,3,0,11,7,62,191,4930
2026-08-18,0,0,6,1,5,15,0
2026-08-19,0,0,2,0,1,4,0
2026-08-20,1,0,1,1,1,4,13
2026-08-21,5,3,8,6,65,203,3397
2026-08-24,0,0,1,0,1,3,0
2026-08-25,2,0,3,3,3,9,34
2026-08-26,1,1,1,1,1,5,242
2026-09-02,1,0,1,0,1,2,0
20260727,4,0,4,4,4,14,276
