date,activeUsers,newUsers,sessions,engagedSessions,screenPageViews,eventCount,userEngagementDuration
2026-09-05,1,0,4,4,35,68,656
2026-09-06,2,0,4,4,23,52,2322
2026-09-07,2,0,12,11,25,68,2423
2026-09-08,4,1,6,5,8,20,63
2026-09-09,5,5,5,0,5,18,8
2026-09-10,18,16,20,4,21,63,57
2026-09-11,8,6,9,3,23,56,174
2026-09-12,2,1,3,3,2,9,214
2026-09-13,2,1,2,2,3,8,130
2026-09-14,12,6,14,8,21,54,257
2026-09-15,6,5,6,3,8,22,390
2026-09-16,1,0,2,2,4,10,197
2026-09-17,3,2,3,2,3,9,71
2026-09-18,2,0,2,2,3,7,131
2026-09-19,1,0,1,1,2,5,94
2026-09-20,5,3,6,4,7,18,37
2026-09-21,1,1,1,0,1,4,6
2026-09-22,4,2,5,3,9,22,26
2026-09-23,3,1,4,3,7,13,21
