date,activeUsers,newUsers,sessions,engagedSessions,screenPageViews,eventCount,userEngagementDuration
20260519,1,0,1,1,3,15,47
20260520,1,0,3,3,15,137,368
20260525,0,0,1,0,0,2,0
20260601,1,0,1,1,2,6,0
20260602,1,0,1,1,2,7,0
20260605,1,0,1,1,0,2,0
20260608,2,1,2,0,2,11,8
20260609,2,1,2,1,2,11,18
20260611,1,0,1,1,1,4,0
20260612,2,1,2,1,2,8,0
20260615,1,0,1,0,1,4,0
20260616,1,0,1,0,1,5,1
20260619,1,0,1,0,0,2,0
20260622,0,0,1,0,1,4,0
20260623,1,0,2,2,2,10,8
20260625,1,0,1,1,2,17,177
20260626,1,0,2,2,3,21,59
20260627,1,0,2,2,5,35,122
20260629,1,0,1,0,0,2,0
20260701,14,13,15,3,17,85,115
20260703,1,1,1,0,1,4,0
20260706,2,0,2,2,0,4,13
20260707,1,1,1,0,1,5,0
20260710,3,1,4,4,5,24,66
20260712,1,1,1,1,2,10,14
20260713,2,0,2,2,2,23,137
20260714,2,1,2,1,2,6,0
20260715,1,0,1,0,0,2,0
20260716,1,1,1,0,1,4,0
20260720,1,0,1,1,1,9,76
20260721,1,0,1,1,1,5,7
20260723,1,0,1,1,1,7,38
20260727,1,0,3,3,2,14,164
20260728,2,0,2,0,2,18,246
