date,activeUsers,newUsers,sessions,engagedSessions,screenPageViews,eventCount,userEngagementDuration
2026-07-28,1,0,1,1,1,1,0
2026-07-29,1,0,3,3,4,10,141
2026-07-30,5,3,7,5,8,23,256
2026-08-01,1,0,1,1,0,1,301
2026-08-02,2,0,7,4,8,21,228
2026-08-03,5,2,7,4,9,26,391
2026-08-04,2,0,5,4,9,15,92
2026-08-05,3,1,6,4,7,21,415
2026-08-06,1,0,1,1,1,1,0
2026-08-07,3,0,5,3,6,10,0
2026-08-08,1,0,2,1,1,3,0
2026-08-09,1,0,2,1,1,4,0
2026-08-10,3,0,7,6,8,23,144
2026-08-11,3,0,6,5,7,19,23
2026-08-12,3,0,4,4,4,6,0
2026-08-13,2,0,3,3,3,8,108
2026-08-14,2,0,2,2,3,6,23
2026-08-15,2,0,3,2,3,8,14
2026-08-16,1,0,4,3,11,26,96
2026-08-17,5,3,6,5,7,22,93
2026-08-18,1,0,1,1,1,3,12
2026-08-19,2,0,2,2,2,4,26
2026-08-20,1,0,2,2,2,5,65
2026-08-25,4,3,6,5,7,21,134
2026-08-26,1,1,1,1,1,4,6
