date,activeUsers,newUsers,sessions,engagedSessions,screenPageViews,eventCount,userEngagementDuration
2026-07-29,2,0,4,4,6,18,2137
2026-07-30,3,0,5,5,7,23,120
2026-07-31,1,0,1,0,1,4,0
2026-08-01,1,0,1,0,0,1,57
2026-08-04,3,1,6,3,9,30,123
2026-08-05,1,0,1,1,0,2,166
2026-08-06,2,0,4,2,2,11,41
2026-08-07,1,0,1,1,1,2,0
2026-08-09,1,0,1,1,1,3,0
2026-08-10,1,0,1,1,1,2,0
2026-08-11,4,1,5,3,4,16,198
2026-08-13,4,1,6,4,11,30,91
2026-08-14,2,0,4,2,5,12,0
2026-08-15,3,1,4,1,3,12,4
2026-08-16,1,0,2,2,3,9,9
2026-08-17,8,4,13,6,17,53,192
2026-08-18,15,10,20,10,22,82,1007
2026-08-19,1,1,2,1,2,11,136
2026-08-20,10,8,10,6,12,50,661
2026-08-21,7,4,10,5,11,43,142
2026-08-22,2,1,5,1,6,22,59
2026-08-24,4,1,6,4,11,36,457
2026-08-25,11,2,15,13,19,61,660
2026-08-26,12,7,12,6,15,59,306
2026-08-27,7,6,7,1,23,69,80
2026-08-28,11,6,15,9,24,76,271
2026-08-29,2,0,4,2,5,17,28
2026-08-31,1,0,3,0,1,7,0
2026-09-01,5,2,6,3,14,47,127
2026-09-02,6,3,7,5,8,35,291
2026-09-03,2,2,3,1,2,11,226
