date,activeUsers,newUsers,sessions,engagedSessions,screenPageViews,eventCount,userEngagementDuration
2026-05-07,4,0,8,8,8,15,26
2026-05-08,1,1,1,0,1,3,0
2026-05-15,3,0,6,6,9,23,317
2026-05-16,2,0,2,2,2,3,12
2026-05-17,5,0,11,8,8,19,18
2026-05-18,4,0,4,2,2,9,44
2026-05-19,1,0,2,2,1,2,15
2026-05-22,1,1,1,0,1,3,0
2026-05-27,1,1,1,0,1,3,0
2026-06-02,3,0,4,3,4,12,99
2026-06-04,1,1,1,0,1,3,0
2026-06-07,2,2,2,0,2,6,0
2026-06-08,3,0,3,3,3,8,21
2026-06-09,14,6,15,8,15,46,142
2026-06-11,1,1,1,0,1,3,0
2026-06-12,1,1,1,0,1,3,0
2026-06-13,1,1,1,0,1,3,0
2026-06-14,1,1,1,0,1,3,0
2026-06-16,1,0,1,1,1,1,0
2026-06-18,1,1,1,0,1,3,0
2026-06-19,1,1,1,0,1,3,0
2026-06-20,1,1,1,0,1,3,0
2026-06-23,3,2,3,1,3,9,0
2026-06-24,3,3,3,0,3,9,0
2026-06-25,4,0,7,7,10,19,36
2026-06-26,2,0,4,3,3,9,482
2026-06-27,1,1,1,0,1,3,0
2026-06-29,2,0,2,0,0,3,13
2026-07-01,1,1,1,0,1,3,0
2026-07-03,1,0,1,0,1,2,0
2026-07-04,3,3,3,0,3,10,0
2026-07-06,2,0,2,2,0,3,7
2026-07-13,2,0,2,2,2,5,15
2026-07-14,3,3,3,0,3,9,0
2026-07-19,2,2,2,0,2,6,0
2026-07-20,1,1,1,0,1,3,0
2026-07-21,2,0,2,2,2,6,2
2026-07-27,5,1,6,5,6,19,49
2026-07-28,5,3,5,2,5,15,41
2026-07-29,2,0,2,2,2,4,2
2026-07-30,3,0,4,4,3,7,72
2026-08-01,2,1,2,1,1,4,49
2026-08-02,3,1,3,2,4,10,162
2026-08-03,1,0,1,1,1,3,0
2026-08-04,10,2,10,8,10,24,35
2026-08-05,3,1,3,1,2,7,13
2026-08-07,7,3,9,7,9,28,34
2026-08-08,2,0,2,2,2,3,0
2026-08-09,2,1,2,1,2,5,0
2026-08-10,6,3,8,5,11,23,18
2026-08-11,1,0,1,1,1,3,39
2026-08-12,3,3,3,0,3,9,0
2026-08-13,7,1,11,10,8,20,39
2026-08-14,1,0,1,1,1,1,0
2026-08-15,3,1,3,2,3,7,9
2026-08-16,2,0,3,3,2,4,0
2026-08-17,3,1,4,3,5,13,22
2026-08-19,6,1,6,5,6,16,681
2026-08-20,6,3,9,4,6,23,2510
2026-08-21,2,1,4,1,3,11,14
2026-08-22,2,2,2,0,2,7,0
2026-08-24,5,4,5,1,6,17,128
2026-08-25,6,0,10,10,10,26,108
2026-08-26,2,2,2,0,2,6,0
2026-08-27,3,2,3,1,3,10,5
2026-08-28,1,0,4,3,4,9,43
