date,activeUsers,newUsers,sessions,engagedSessions,screenPageViews,eventCount,userEngagementDuration
2026-07-30,3,0,4,4,7,15,39
2026-08-01,1,0,2,1,0,4,0
2026-08-02,2,0,3,3,3,7,27
2026-08-03,1,0,2,2,14,29,181
2026-08-04,2,0,5,5,22,51,1010
2026-08-05,3,2,4,2,9,23,57
2026-08-07,1,0,1,1,1,4,5
2026-08-09,1,1,1,1,2,5,2
2026-08-10,2,0,3,2,7,16,45
2026-08-11,2,0,3,3,8,17,15
2026-08-12,3,0,3,3,14,30,61
2026-08-13,1,0,2,1,1,5,10
2026-08-15,2,1,2,1,4,9,6
2026-08-16,1,0,2,2,7,15,33
2026-08-18,1,0,1,1,2,3,0
2026-08-19,4,3,4,2,6,16,19
2026-08-20,4,2,4,3,42,108,854
2026-08-21,0,0,2,0,1,5,0
2026-08-25,1,0,1,1,1,2,3
2026-08-27,1,0,2,2,1,4,96
