date,activeUsers,newUsers,sessions,engagedSessions,screenPageViews,eventCount,userEngagementDuration
2026-08-28,2,1,2,2,14,29,243
2026-08-29,2,1,6,5,114,165,1471
2026-08-30,1,0,5,4,110,149,935
2026-08-31,6,1,15,15,266,349,2908
2026-09-01,7,3,11,10,173,225,1276
2026-09-02,4,0,8,7,92,110,591
2026-09-03,3,0,6,4,61,77,1802
2026-09-04,2,0,6,4,42,75,412
2026-09-05,2,0,3,2,9,20,25
2026-09-06,6,1,9,6,96,121,800
2026-09-07,4,0,13,13,267,357,1598
2026-09-08,9,2,14,13,162,207,1763
2026-09-09,2,1,7,6,194,232,776
2026-09-10,15,12,23,16,182,265,1355
2026-09-11,3,1,5,1,50,65,116
