date,activeUsers,newUsers,sessions,engagedSessions,screenPageViews,eventCount,userEngagementDuration
2023-02-14,7,6,7,1,11,28,38
2023-02-23,1,0,2,0,1,2,4
2023-02-28,1,0,1,0,1,2,2
2023-03-01,2,1,2,2,2,8,75
2023-03-02,1,0,1,1,2,3,0
2023-03-07,2,0,2,0,2,5,29
2023-03-08,4,3,6,1,4,15,0
2023-03-10,1,1,1,1,1,5,132
2023-03-14,1,0,1,0,1,2,3
2023-03-15,1,0,2,1,1,4,221
2023-03-16,2,1,2,1,2,7,75
2023-03-21,1,1,2,1,1,6,51
2023-03-22,1,0,3,1,3,10,68
2023-03-23,2,2,3,0,2,8,0
2023-03-27,4,4,5,2,4,17,52
2023-03-28,9,7,10,1,11,33,41
2023-03-29,4,3,8,3,7,27,155
2023-03-30,5,2,5,1,5,15,106
2023-04-05,5,2,6,1,5,20,1102
2023-04-07,2,0,2,1,2,5,170
2023-04-08,3,2,4,1,3,11,16
2023-04-10,1,0,1,0,1,3,36
2023-04-11,5,2,6,2,9,25,136
2023-04-20,1,0,1,0,1,1,0
2023-04-21,2,2,4,0,3,10,0
2023-04-26,8,7,9,4,10,33,148
2023-04-27,2,0,5,2,4,12,59
2023-05-01,1,0,1,1,1,4,13
2023-05-03,2,0,2,1,2,6,29
2023-05-12,1,0,1,0,1,2,4
2023-05-15,1,0,1,0,1,2,57
2023-05-18,1,1,1,0,1,3,0
2023-05-19,1,1,1,1,1,5,120
2023-05-20,1,0,1,1,1,4,37
2023-05-22,1,1,1,1,1,4,25
2023-05-25,1,1,1,1,1,4,985
2023-05-28,1,1,2,0,1,5,0
2023-05-31,3,3,3,3,4,15,950
2023-06-01,4,3,6,3,6,26,684
2023-06-02,2,2,6,1,6,15,45
2023-06-05,1,0,2,0,2,3,0
2023-06-06,1,0,1,0,0,1,7
2023-06-07,3,3,4,1,4,12,295
2023-06-09,0,0,1,0,1,2,0
2023-06-13,2,0,3,0,2,4,913
2023-06-21,3,3,4,1,4,14,108
2023-07-06,2,0,2,0,3,5,2
2023-07-14,2,0,2,0,2,3,151
2023-07-17,1,0,1,0,1,1,0
2023-07-18,0,0,1,0,1,2,0
2023-07-19,1,1,1,0,1,3,0
2023-07-23,1,0,1,0,1,1,0
2023-07-24,1,1,2,0,1,6,3
2023-07-27,3,3,3,1,3,10,1
2023-08-03,1,1,1,1,1,5,651
2023-08-07,1,1,1,0,1,3,0
2023-08-08,3,3,4,2,4,14,408
2023-08-10,1,0,2,0,2,4,2
2023-08-12,1,0,1,0,0,1,7
2023-08-14,1,0,2,0,2,5,3
2023-08-15,2,2,3,2,2,10,204
2023-08-16,0,0,1,0,0,2,0
2023-08-17,3,2,3,1,3,10,85
2023-08-18,1,0,1,1,1,3,3
2023-08-21,1,0,1,1,1,3,5
2023-08-23,2,2,2,1,2,7,32
2023-08-25,1,1,1,0,1,3,0
2023-08-28,3,3,3,0,3,10,7
2023-08-30,1,1,1,0,1,4,3
2023-09-02,1,0,1,0,1,1,0
2023-09-06,1,0,1,0,0,1,37
2023-09-07,1,0,1,1,1,2,0
2023-09-11,1,1,2,0,2,5,0
2023-09-15,0,0,1,0,1,2,0
2023-09-19,0,0,1,0,0,2,0
2023-09-20,0,0,1,0,1,2,0
2023-09-21,11,11,11,1,11,34,264
2023-09-22,8,8,8,0,8,25,7
2023-09-23,1,1,1,0,1,3,0
