date,activeUsers,newUsers,sessions,engagedSessions,screenPageViews,eventCount,userEngagementDuration
2026-05-07,1,0,2,2,3,5,21
2026-05-12,1,1,1,1,1,4,3
2026-05-13,1,1,2,1,1,7,7
2026-05-19,2,1,2,1,2,8,18
2026-05-20,0,0,1,0,0,2,0
2026-05-28,2,2,2,2,4,19,150
2026-05-29,1,0,2,1,1,9,78
2026-06-04,2,2,2,2,2,10,84
2026-06-08,3,0,4,3,3,8,4
2026-06-18,2,0,2,2,2,4,2
2026-06-22,1,1,1,1,1,4,20
2026-06-23,2,0,3,1,2,8,7
2026-06-24,0,0,1,0,0,2,0
2026-06-29,3,1,3,2,3,14,167
2026-06-30,1,1,2,0,1,5,0
2026-07-01,0,0,1,0,0,2,0
2026-07-13,1,0,1,1,1,2,1
2026-07-16,1,0,1,1,1,3,29
2026-07-17,0,0,1,0,0,2,0
2026-07-27,1,1,1,0,1,3,0
2026-07-30,1,1,1,1,1,5,19
2026-07-31,0,0,1,0,1,2,0
2026-08-05,2,2,2,0,2,8,0
2026-08-10,1,0,1,1,1,4,49
2026-08-12,1,1,1,0,1,4,9
2026-08-17,2,2,2,0,2,8,0
2026-08-20,1,1,1,1,1,4,9
2026-08-29,1,1,1,1,1,5,12
2026-09-03,1,1,1,0,1,4,2
20260507,1,0,2,2,3,5,21
20260512,1,1,1,1,1,4,3
20260513,1,1,2,1,1,7,7
20260519,2,1,2,1,2,8,18
20260520,0,0,1,0,0,2,0
20260528,2,2,2,2,4,19,150
20260529,1,0,2,1,1,9,78
20260604,2,2,2,2,2,10,84
20260608,3,0,4,3,3,8,4
20260618,2,0,2,2,2,4,2
20260622,1,1,1,1,1,4,20
20260623,2,0,3,1,2,8,7
20260624,0,0,1,0,0,2,0
20260629,3,1,3,2,3,14,167
20260630,1,1,2,0,1,5,0
20260701,0,0,1,0,0,2,0
20260713,1,0,1,1,1,2,1
20260716,1,0,1,1,1,3,29
20260717,0,0,1,0,0,2,0
20260727,2,2,2,0,2,6,0
