date,activeUsers,newUsers,sessions,engagedSessions,screenPageViews,eventCount,userEngagementDuration
2026-05-07,1,0,2,2,3,5,4
2026-05-08,1,0,1,1,3,4,2
2026-05-31,1,0,1,1,6,10,24
2026-06-04,1,1,1,1,3,7,9
2026-06-09,2,0,2,2,14,25,39
2026-06-15,1,0,1,1,3,6,2
2026-06-18,2,1,2,2,9,16,20
2026-07-06,1,1,1,1,13,19,230
2026-07-07,1,1,1,1,3,5,0
2026-07-13,1,0,1,1,3,5,6
2026-07-14,1,0,1,1,2,3,0
2026-07-20,1,0,1,1,79,120,578
2026-07-28,1,0,1,1,2,4,0
2026-07-30,1,0,1,1,0,1,2
2026-07-31,1,1,1,1,2,6,1
2026-08-25,1,0,1,0,2,4,4
20260507,1,0,2,2,3,5,4
20260508,1,0,1,1,3,4,2
20260531,1,0,1,1,6,10,24
20260604,1,1,1,1,3,7,9
20260609,2,0,2,2,14,25,39
20260615,1,0,1,1,3,6,2
20260618,2,1,2,2,9,16,20
20260706,1,1,1,1,13,19,230
20260707,1,1,1,1,3,5,0
20260713,1,0,1,1,3,5,6
20260714,1,0,1,1,2,3,0
20260720,1,0,1,1,79,120,578
20260728,2,0,2,0,4,6,0
