date,activeUsers,newUsers,sessions,engagedSessions,screenPageViews,eventCount,userEngagementDuration
20260507,2,1,3,3,3,11,41
20260508,1,1,1,1,1,9,68
20260512,1,1,2,1,1,18,181
20260520,2,2,2,0,2,8,0
20260524,1,1,1,1,2,7,1
20260526,2,2,2,0,2,7,0
20260527,1,1,1,1,1,8,189
20260603,1,1,1,1,1,6,12
20260605,1,1,2,0,1,6,0
20260608,1,0,2,2,1,4,0
20260610,1,1,1,1,1,5,6
20260616,1,1,1,1,1,7,54
20260618,1,0,2,0,1,5,0
20260620,5,5,8,2,8,89,316
20260707,1,1,1,0,1,5,1
20260709,1,1,1,1,1,6,43
20260710,2,2,2,2,5,32,350
20260711,1,1,1,1,1,10,518
20260713,3,2,6,6,7,62,244
20260714,1,0,3,1,2,9,2
20260715,1,0,1,1,1,4,0
20260716,0,0,1,0,1,3,0
20260718,1,1,1,0,1,3,0
20260720,2,1,2,2,2,17,103
20260723,1,0,1,1,1,5,55
20260725,2,2,4,2,3,33,324
20260727,3,2,5,5,3,19,288
