date,activeUsers,newUsers,sessions,engagedSessions,screenPageViews,eventCount,userEngagementDuration
2026-07-29,3,2,6,4,24,82,208
2026-07-30,2,0,3,3,23,60,97
2026-08-01,1,0,2,1,0,4,53
2026-08-02,1,0,1,1,1,3,209
2026-08-03,1,0,1,1,5,16,17
2026-08-04,3,2,6,4,34,91,385
2026-08-05,1,0,1,1,0,2,21
2026-08-07,1,0,1,1,1,2,1
2026-08-10,2,0,2,2,3,7,30
2026-08-11,2,0,3,3,4,10,16
2026-08-12,1,0,3,3,3,6,0
2026-08-13,2,0,3,2,1,6,12
2026-08-15,2,2,2,0,2,6,0
2026-08-20,1,1,1,0,1,3,0
2026-08-25,1,0,1,1,1,3,2
