date,events,distinct_sessions,distinct_clients,errors,p50_ms,p95_ms
2026-07-15,24,0,0,0,19570.8,236937.2
2026-07-16,18,0,0,0,20481.8,32474.8
2026-07-17,5,0,0,0,21179.0,50520.9
2026-07-20,22,0,0,0,122.8,315.4
2026-07-23,4,0,0,0,121.5,277.3
2026-07-24,4,0,0,0,105.9,257.0
2026-07-27,9,4,3,0,,
2026-07-28,13,3,2,0,33145.9,47975.9
2026-07-29,31,4,2,0,139.0,258.4
2026-07-30,2,1,1,0,,
2026-07-31,2,1,1,0,,
2026-08-04,117,10,3,0,281.4,588.8
2026-08-05,9,3,2,0,33.4,55.4
2026-08-06,6,3,3,0,,
7/15/2026 ,24,0,0,0,19570.8,236937.2
7/16/2026 ,18,0,0,0,20481.8,32474.8
7/17/2026 ,5,0,0,0,21179.0,50520.9
7/20/2026 ,22,0,0,0,122.8,315.4
7/23/2026 ,4,0,0,0,121.5,277.3
7/24/2026 ,4,0,0,0,105.9,257.0
7/27/2026 ,9,4,3,0,,
7/28/2026 ,13,3,2,0,33145.9,47975.9
