event,n,p50_ms,p95_ms,error_rate,median_n_rows
download:bundle,21,32084.3,47183.8,0.0,16.0
download:integrated_bundle,19,19439.7,300486.6,0.0,12.0
download_bundle,2,44998.6,48214.1,0.0,21.0
download_integrated_bundle,2,21739.3,23750.4,0.0,12.0
filter_submit,3,,,0.0,
map:get_env,18,25.4,34.8,0.0,
map:get_sp,18,230.5,318.9,0.0,
map_query_env,3,26.7,27.2,0.0,
map_query_env_poly,8,140.7,156.7,0.0,14.0
map_query_sp,3,252.3,259.0,0.0,
map_query_sp_poly,8,172.6,243.1,0.0,
open_filters,4,,,0.0,
open_layers,1,,,0.0,
select_agg_unit,5,,,0.0,
select_tab,11,,,0.0,
session_start,25,,,0.0,
start_tour,13,,,0.0,
test:log_query,1,842.1,842.1,0.0,13319.0
